??,?/?? ??,?/?? ???(%),?/?? ??,?/?? ???(%),?/100? ??,?/100? ???(%),????,????,????,GDP?? ???? ??,?????,?????,???(15? ??),??,??,15~19?,20~29?,30~39?,40~49?,50~59?,60? ??,??? 3?(??),??? 5?(??),??? 10?(??),??? 3?(AA-, ??),CD 91?(??),???(1??,??),????,?? ??,?? ???,?? ??,?? ???,??,????? ???(2020=100),????????(%),??? · ?????,?? ? ??,?? ? ??,?? ·?? · ?? ? ??,???? ? ?? ???,??,??,??,?? ? ??,??,?? ? ??,?? ?? ? ???,?? ?????????,??? ?????????,?? ?????????
2002,1186.2,10.7,118.6,10.7,999.9,0.9,464712,416771.4,47940.5,59.2,627.55,443.6,60.1,72.3,48.5,9.3,61.4,73,77.5,68.2,38.7,5.78,6.26,6.59,6.56,4.81,4.19,4.25,162470528,8,152126153,7.8,10344375,67.5,2.8,4.8,7.4,3.1,2.7,1,-0.5,1,-4.5,0.6,5.6,3.4,3.3,58.8,55.3,58.8,55.3,69.2
2003,1192.6,-0.5,106.9,11,1115.4,-10.4,472051.4,445422.1,26629.2,56.4,810.71,448.7,59.4,72.1,47.4,8.6,60.3,72.7,76.9,67.6,36.2,4.55,4.76,5.05,5.43,4.31,3.98,3.75,193817443,19.3,178826657,17.6,14990786,69.9,3.5,4.6,2.8,3.5,4.2,2,2.2,4,-5.2,0.4,5.9,3.7,2.5,61,55.4,61,55.4,67.8
2004,1035.1,15.2,102.5,4.3,1009.7,10.5,494202.6,468938.5,25264.1,54.4,895.92,380.33,60,72.3,48.5,8.4,61.2,72.7,77.4,68,37.3,4.11,4.35,4.73,4.73,3.79,3.62,3.25,253844672,31,224462687,25.5,29381985,72.4,3.6,8.1,1.1,0.3,3.3,0.7,1.4,3.5,-1.6,-0.1,5.5,3.8,2,59.5,53.6,59.5,53.6,66.7
2005,1011.6,2.3,117.8,-13,858.5,17.6,542871.4,514844.2,28027.3,56.7,1379.37,701.79,59.9,71.9,48.6,8,61.2,72.4,77.2,68.2,37.1,4.27,4.52,4.95,4.68,3.65,3.32,3.75,284418743,12,261238264,16.4,23180479,74.4,2.8,3.1,14.9,1,1.9,0.6,2.2,5,-1.8,0.1,4.2,2.4,1.4,61.7,56.2,61.7,56.2,68.3
2006,929.8,8.8,118.7,-0.7,783.4,9.6,607133.2,575601,31532.2,60.4,1434.46,606.15,60,71.6,49,6.7,60.2,73.3,77.8,68.6,37.5,4.83,4.96,5.15,5.17,4.48,4.19,4.5,325464848,14.4,309382632,18.4,16082216,76.1,2.2,0.5,-0.2,2.7,2.9,0.2,2,4.6,-1.3,-2.4,4.8,1.9,5.2,68.8,67.7,68.8,67.7,69.7
2007,936.1,-0.7,113,5.1,828.6,-5.5,665394.2,630112.8,35281.4,61.1,1897.13,704.23,60,71.7,49.1,6.6,60.1,73,78.4,69.6,38.1,5.23,5.28,5.35,5.7,5.16,4.77,5,371489086,14.1,356845733,15.3,14643353,78,2.5,2.5,0.4,2.7,2.2,2.6,1.7,3.6,-2,-1.7,6,1.9,4.9,72.8,74.7,72.8,74.7,70.1
2008,1259.5,-25.7,90.2,25.3,1396.8,-40.7,723521.5,683602.4,39919.1,62.7,1124.47,332.05,59.8,71.2,48.9,5.9,59.4,73,78.4,70.5,37.3,5.27,5.36,5.57,7.02,5.49,4.78,3,422007328,13.6,435274737,22,-13267409,81.7,4.7,4.9,0.5,2.6,4.3,4.4,1.9,8.8,-1.4,1.5,5.5,4.8,9,77.1,81.7,77.1,81.7,71.5
2009,1164.5,8.2,92.1,-2.1,1264.5,10.5,775985.3,734291.9,41693.5,64.4,1682.77,513.57,58.8,70.2,47.8,5.4,58.4,71.4,77.6,70.2,36.9,4.04,4.64,5.17,5.81,2.63,1.98,2,363533561,-13.9,323084521,-25.8,40449040,83.9,2.8,7.6,1.1,5.1,1.1,4.4,2.2,-3.5,-0.2,2.3,2.5,3.8,6.8,78.3,82.7,78.3,82.7,72.7
2010,1134.8,2.6,81.4,13.1,1393.6,-9.3,843189.6,793778.9,49410.8,63.8,2051,511,58.9,70.3,47.9,6.1,58.4,72,77.9,70.9,36.2,3.72,4.31,4.77,4.66,2.67,2.16,2.5,466383762,28.3,425212160,31.6,41171602,86.4,2.9,6.4,0.4,2.9,2.4,0.4,1.7,4.9,-0.9,0.9,2.3,2.3,3.5,79.4,81.2,79.4,81.2,76.7
2011,1151.8,-1.5,77.8,4.7,1481.2,-5.9,916162.2,861387.9,54774.3,66,1826,500,59.3,70.7,48.3,6.8,58.4,72.2,78.4,71.6,36.8,3.62,3.9,4.2,4.41,3.44,3.09,3.25,555213656,19,524413090,23.3,30800566,89.9,4,8.1,0.8,3.3,4.5,3.7,1.8,7,-1.6,1.6,1.7,4.3,3.2,84.3,81.9,84.3,81.9,86.5
